2024-01-24 11:00:24,715 INFO    StreamThr :2841164 [internal.py:wandb_internal():86] W&B internal server running at pid: 2841164, started at: 2024-01-24 11:00:24.714767
2024-01-24 11:00:24,727 DEBUG   HandlerThread:2841164 [handler.py:handle_request():146] handle_request: status
2024-01-24 11:00:24,735 INFO    WriterThread:2841164 [datastore.py:open_for_write():87] open: /home/wang-jian-an/project-and-jobs/CustomizedAutoML/wandb/run-20240124_110024-nbombihl/run-nbombihl.wandb
2024-01-24 11:00:24,738 DEBUG   SenderThread:2841164 [sender.py:send():382] send: header
2024-01-24 11:00:24,738 DEBUG   SenderThread:2841164 [sender.py:send():382] send: run
2024-01-24 11:00:25,280 DEBUG   HandlerThread:2841164 [handler.py:handle_request():146] handle_request: check_version
2024-01-24 11:00:25,283 INFO    SenderThread:2841164 [dir_watcher.py:__init__():211] watching files in: /home/wang-jian-an/project-and-jobs/CustomizedAutoML/wandb/run-20240124_110024-nbombihl/files
2024-01-24 11:00:25,283 INFO    SenderThread:2841164 [sender.py:_start_run_threads():1136] run started: nbombihl with start time 1706065224.71575
2024-01-24 11:00:25,283 DEBUG   SenderThread:2841164 [sender.py:send_request():409] send_request: check_version
2024-01-24 11:00:25,675 DEBUG   HandlerThread:2841164 [handler.py:handle_request():146] handle_request: run_start
2024-01-24 11:00:25,676 ERROR   HandlerThread:2841164 [gpu.py:is_available():381] Error initializing NVML: RM has detected an NVML/RM version mismatch.
2024-01-24 11:00:25,677 DEBUG   HandlerThread:2841164 [system_info.py:__init__():27] System info init
2024-01-24 11:00:25,677 DEBUG   HandlerThread:2841164 [system_info.py:__init__():42] System info init done
2024-01-24 11:00:25,677 INFO    HandlerThread:2841164 [system_monitor.py:start():194] Starting system monitor
2024-01-24 11:00:25,677 INFO    SystemMonitor:2841164 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-24 11:00:25,678 INFO    HandlerThread:2841164 [system_monitor.py:probe():214] Collecting system info
2024-01-24 11:00:25,679 INFO    SystemMonitor:2841164 [interfaces.py:start():190] Started cpu monitoring
2024-01-24 11:00:25,684 INFO    SystemMonitor:2841164 [interfaces.py:start():190] Started disk monitoring
2024-01-24 11:00:25,691 DEBUG   HandlerThread:2841164 [system_info.py:probe():151] Probing system
2024-01-24 11:00:25,695 DEBUG   HandlerThread:2841164 [system_info.py:_probe_git():136] Probing git
2024-01-24 11:00:25,706 INFO    SystemMonitor:2841164 [interfaces.py:start():190] Started memory monitoring
2024-01-24 11:00:25,710 DEBUG   HandlerThread:2841164 [system_info.py:_probe_git():144] Probing git done
2024-01-24 11:00:25,710 DEBUG   HandlerThread:2841164 [system_info.py:probe():199] Probing system done
